Operon	Start	Stop	Length	Orientation	Average operon coverage	Number of genes in operon	Genes in operon
MT2543-MT2545	2768490	2769881	1391	-	34.4	3	MT2543, MT2544, MT2545
MT2547.2(not expressed)	2772353	2772502	149	-	NOT EXPRESSED		
MT2549-MT2552	2773162	2780888	7726	-	129.4	4	MT2549, MT2550, MT2551, MT2552
MT2553(not expressed)	2780969	2781475	506	-	NOT EXPRESSED		
MT2546-MT2548	2770006	2773130	3124	+	36.9	4	MT2546, MT2547, MT2547.1, MT2548
MT2554(not expressed)	2781443	2781595	152	+	NOT EXPRESSED		
MT2554.1	2781750	2782007	257	+	32.6	1	MT2554.1
MT2554.2(not expressed)	2782085	2782405	320	+	NOT EXPRESSED		
MT2555-MT2559	2782402	2789476	7074	-	34.0	5	MT2555, MT2556, MT2557, MT2558, MT2559
MT2561(not expressed)	2790789	2792873	2084	-	NOT EXPRESSED		
MT2560	2789838	2790608	770	+	23.9	1	MT2560
MT2563(not expressed)	2792955	2796296	3341	-	NOT EXPRESSED		
MT2563.1(not expressed)	2796334	2796696	362	-	NOT EXPRESSED		
MT2564(not expressed)	2796742	2801739	4997	-	NOT EXPRESSED		
MT2565(not expressed)	2801811	2802017	206	-	NOT EXPRESSED		
MT2566(not expressed)	2802153	2802776	623	+	NOT EXPRESSED		
MT2567(not expressed)	2802766	2803518	752	+	NOT EXPRESSED		
MT2570-MT2579	2804246	2815358	11112	-	16.8	10	MT2570, MT2571, MT2572, MT2573, MT2574, MT2575, MT2576, MT2577, MT2578, MT2579
MT2580(not expressed)	2815441	2817084	1643	-	NOT EXPRESSED		
MT2568-MT2569	2803571	2804223	652	+	464.7	2	MT2568, MT2569
MT2583(not expressed)	2818744	2820090	1346	-	NOT EXPRESSED		
MT2581-MT2582	2817152	2818747	1595	+	62.5	2	MT2581, MT2582
MT2585(not expressed)	2820976	2822577	1601	-	NOT EXPRESSED		
MT2584	2820166	2820972	806	+	59.8	1	MT2584
MT2586	2822645	2823292	647	+	27.4	1	MT2586
MT2587(not expressed)	2824044	2825354	1310	-	NOT EXPRESSED		
MT2586.1	2823339	2823740	401	+	4475.7	1	MT2586.1
MT2590(not expressed)	2826365	2826826	461	-	NOT EXPRESSED		
MT2588-MT2589.1	2825442	2826324	882	+	19.0	3	MT2588, MT2589, MT2589.1
MT2591(not expressed)	2826832	2828079	1247	-	NOT EXPRESSED		
MT2593-MT2593.2	2828198	2829430	1232	-	39.1	3	MT2593, MT2593.1, MT2593.2
MT2594	2829597	2830823	1226	-	18.7	1	MT2594
MT2595	2831246	2832751	1505	+	29.2	1	MT2595
MT2596	2832876	2833103	227	-	21.8	1	MT2596
MT2598(not expressed)	2833617	2835029	1412	-	NOT EXPRESSED		
MT2597	2833172	2833645	473	+	106.7	1	MT2597
MT2600.1(not expressed)	2845064	2845309	245	+	NOT EXPRESSED		
MT2599-MT2600	2835026	2844820	9794	-	183.2	2	MT2599, MT2600
MT2601.1	2846063	2846398	335	+	23.2	1	MT2601.1
MT2601	2845340	2846062	722	-	77.0	1	MT2601
MT2603(not expressed)	2847238	2848158	920	-	NOT EXPRESSED		
MT2601.2-MT2602	2846578	2847203	625	+	36.7	2	MT2601.2, MT2602
MT2604(not expressed)	2848362	2849753	1391	+	NOT EXPRESSED		
MT2605-MT2610	2849754	2855906	6152	-	97.9	6	MT2605, MT2606, MT2607, MT2608, MT2609, MT2610
MT2611	2855934	2856632	698	+	45.4	1	MT2611
MT2612-MT2615	2856636	2859900	3264	-	68.3	4	MT2612, MT2613, MT2614, MT2615
MT2615.1-MT2616	2859915	2861830	1915	+	8.2	2	MT2615.1, MT2616
MT2618(not expressed)	2861957	2862616	659	+	NOT EXPRESSED		
MT2617	2861742	2861969	227	-	31.6	1	MT2617
MT2619(not expressed)	2862613	2863272	659	+	NOT EXPRESSED		
MT2620(not expressed)	2863269	2863931	662	+	NOT EXPRESSED		
MT2621(not expressed)	2863928	2864206	278	+	NOT EXPRESSED		
MT2622(not expressed)	2864296	2864712	416	+	NOT EXPRESSED		
MT2623-MT2624	2864736	2865382	646	+	22.0	2	MT2623, MT2624
MT2626(not expressed)	2865725	2866282	557	+	NOT EXPRESSED		
MT2625-MT2627	2865398	2866509	1111	-	72.7	2	MT2625, MT2627
MT2627.1(not expressed)	2866627	2866836	209	-	NOT EXPRESSED		
MT2628(not expressed)	2866920	2867339	419	-	NOT EXPRESSED		
MT2629-MT2633	2867351	2873110	5759	-	177.1	5	MT2629, MT2630, MT2631, MT2632, MT2633
MT2634-MT2635	2873217	2874686	1469	+	133.0	2	MT2634, MT2635
MT2636	2874716	2876074	1358	-	12.1	1	MT2636
MT2637.1(not expressed)	2877110	2877433	323	-	NOT EXPRESSED		
MT2637-MT2638	2876220	2878291	2071	+	39.4	2	MT2637, MT2638
MT2639-MT2640	2878434	2880478	2044	+	34.7	2	MT2639, MT2640
MT2641	2880755	2882506	1751	+	19.1	1	MT2641
MT2642(not expressed)	2882469	2885939	3470	+	NOT EXPRESSED		
MT2643	2885939	2888593	2654	+	38.5	1	MT2643
MT2646(not expressed)	2890656	2891045	389	+	NOT EXPRESSED		
MT2644-MT2645	2888590	2890552	1962	-	12.6	2	MT2644, MT2645
MT2649(not expressed)	2894100	2894927	827	+	NOT EXPRESSED		
MT2647-MT2648	2891037	2893941	2904	-	24.0	2	MT2647, MT2648
MT2650-MT2651	2894950	2896364	1414	+	82.5	2	MT2650, MT2651
MT2653(not expressed)	2896810	2896956	146	+	NOT EXPRESSED		
MT2652	2896370	2896834	464	-	1145.2	1	MT2652
MT2654(not expressed)	2897062	2898651	1589	+	NOT EXPRESSED		
MT2655	2898653	2899675	1022	-	37.6	1	MT2655
MT2656	2899783	2900685	902	+	27.7	1	MT2656
MT2657-MT2658	2900965	2902973	2008	-	65.3	2	MT2657, MT2658
MT2660-MT2662	2903970	2908821	4851	-	77.5	3	MT2660, MT2661, MT2662
MT2659	2902958	2903884	926	+	39.3	1	MT2659
MT2663-MT2665	2908827	2912337	3510	-	99.4	3	MT2663, MT2664, MT2665
MT2668(not expressed)	2917649	2917801	152	-	NOT EXPRESSED		
MT2666-MT2667	2912504	2917521	5017	+	32.3	2	MT2666, MT2667
MT2668.1(not expressed)	2917809	2919326	1517	+	NOT EXPRESSED		
MT2672-MT2673	2921899	2923119	1220	+	31.7	2	MT2672, MT2673
MT2673.1(not expressed)	2923160	2923624	464	+	NOT EXPRESSED		
MT2669-MT2671	2919343	2921527	2184	-	35.1	3	MT2669, MT2670, MT2671
MT2674(not expressed)	2923621	2924052	431	+	NOT EXPRESSED		
MT2674.1	2924077	2924535	458	+	29.5	1	MT2674.1
MT2675(not expressed)	2924532	2926103	1571	+	NOT EXPRESSED		
MT2678	2926949	2927704	755	-	70.4	1	MT2678
MT2679	2927837	2928433	596	-	18.3	1	MT2679
MT2676-MT2677	2926214	2926928	714	+	83.1	2	MT2676, MT2677
MT2682(not expressed)	2930342	2931016	674	+	NOT EXPRESSED		
MT2680-MT2681	2928441	2930235	1794	-	156.5	2	MT2680, MT2681
MT2684-MT2689	2932954	2939411	6457	-	27.6	6	MT2684, MT2685, MT2686, MT2687, MT2688, MT2689
MT2690(not expressed)	2939744	2941174	1430	-	NOT EXPRESSED		
MT2683	2931190	2932932	1742	+	12.7	1	MT2683
MT2691.1	2941474	2941974	500	+	65.3	1	MT2691.1
MT2693(not expressed)	2942578	2943255	677	+	NOT EXPRESSED		
MT2692	2941991	2942431	440	-	144.2	1	MT2692
MT2694(not expressed)	2943210	2943620	410	+	NOT EXPRESSED		
MT2697(not expressed)	2944780	2945601	821	+	NOT EXPRESSED		
MT2695-MT2696	2943606	2944702	1096	-	18.8	2	MT2695, MT2696
MT2699(not expressed)	2946633	2947451	818	-	NOT EXPRESSED		
MT2698	2945737	2946630	893	+	26.3	1	MT2698
MT2700(not expressed)	2947466	2948647	1181	-	NOT EXPRESSED		
MT2701	2948706	2949137	431	-	40.8	1	MT2701
MT2703	2951202	2951564	362	+	17.1	1	MT2703
MT2702	2949651	2950892	1241	-	17.5	1	MT2702
MT2708-MT2709	2955053	2955964	911	-	80.2	2	MT2708, MT2709
MT2710(not expressed)	2955991	2956248	257	-	NOT EXPRESSED		
MT2704-MT2707	2951911	2955014	3103	+	37.2	3	MT2704, MT2705, MT2707
MT2712(not expressed)	2956249	2958615	2366	-	NOT EXPRESSED		
MT2713(not expressed)	2958614	2958856	242	+	NOT EXPRESSED		
MT2714(not expressed)	2958857	2959534	677	+	NOT EXPRESSED		
MT2717	2961170	2961502	332	-	32.6	1	MT2717
MT2715-MT2716	2959730	2960995	1265	+	29.7	2	MT2715, MT2716
MT2719-MT2720	2962083	2964550	2467	+	30.6	2	MT2719, MT2720
MT2721(not expressed)	2964554	2964976	422	+	NOT EXPRESSED		
MT2718	2961622	2961981	359	-	29.4	1	MT2718
MT2722(not expressed)	2965091	2965222	131	+	NOT EXPRESSED		
MT2723(not expressed)	2966267	2966698	431	+	NOT EXPRESSED		
MT2724(not expressed)	2966695	2967693	998	+	NOT EXPRESSED		
MT2725(not expressed)	2967803	2968171	368	+	NOT EXPRESSED		
MT2726(not expressed)	2968138	2968419	281	-	NOT EXPRESSED		
MT2727-MT2728	2968581	2970561	1980	-	17.8	2	MT2727, MT2728
MT2729(not expressed)	2970714	2971205	491	-	NOT EXPRESSED		
MT2730(not expressed)	2971372	2971695	323	-	NOT EXPRESSED		
MT2731(not expressed)	2971775	2972020	245	-	NOT EXPRESSED		
MT2732(not expressed)	2972017	2973444	1427	-	NOT EXPRESSED		
MT2733(not expressed)	2973446	2973838	392	-	NOT EXPRESSED		
MT2734-MT2735	2973835	2975637	1802	-	70.1	3	MT2734, MT2734.1, MT2735
MT2736(not expressed)	2975749	2975976	227	-	NOT EXPRESSED		
MT2736.1(not expressed)	2976117	2976275	158	+	NOT EXPRESSED		
MT2737-MT2738	2976639	2977137	498	+	59.9	2	MT2737, MT2738
MT2739	2977485	2977766	281	+	32.6	1	MT2739
MT2740(not expressed)	2977794	2978660	866	+	NOT EXPRESSED		
MT2741(not expressed)	2978682	2979440	758	+	NOT EXPRESSED		
MT2744(not expressed)	2980518	2981627	1109	-	NOT EXPRESSED		
MT2742-MT2743	2979415	2980540	1125	+	42.7	2	MT2742, MT2743
MT2745-MT2747	2981683	2985379	3696	+	30.0	3	MT2745, MT2746, MT2747
MT2748	2985548	2985958	410	+	127.0	1	MT2748
MT2749-MT2752	2986026	2989949	3923	-	40.1	4	MT2749, MT2750, MT2751, MT2752
MT2753-MT2755	2989957	2992999	3042	+	48.1	3	MT2753, MT2754, MT2755
MT2756	2992996	2994912	1916	-	59.7	1	MT2756
MT2760(not expressed)	2998224	2998982	758	-	NOT EXPRESSED		
MT2757-MT2759	2995056	2998213	3157	+	44.6	3	MT2757, MT2758, MT2759
MT2761(not expressed)	2998979	2999692	713	-	NOT EXPRESSED		
MT2762	2999689	3000642	953	-	30.8	1	MT2762
MT2763(not expressed)	3000788	3002092	1304	-	NOT EXPRESSED		
MT2764	3002179	3004152	1973	-	17.9	1	MT2764
MT2765-MT2766	3004287	3005629	1342	+	19.8	2	MT2765, MT2766
MT2769(not expressed)	3006859	3007566	707	+	NOT EXPRESSED		
MT2767-MT2768	3005640	3006815	1175	-	78.9	2	MT2767, MT2768
MT2770-MT2771	3007772	3009090	1318	-	81.7	2	MT2770, MT2771
MT2772	3009116	3009601	485	+	23.4	1	MT2772
MT2773	3009606	3009908	302	-	44.8	1	MT2773
MT2775(not expressed)	3010806	3011639	833	-	NOT EXPRESSED		
MT2774	3010146	3010796	650	+	57.4	1	MT2774
MT2778(not expressed)	3014757	3015140	383	-	NOT EXPRESSED		
MT2776-MT2777.1	3011801	3014829	3028	+	79.0	3	MT2776, MT2777, MT2777.1
MT2779-MT2780	3015266	3016490	1224	+	349.4	2	MT2779, MT2780
MT2782	3016782	3017228	446	+	182.8	1	MT2782
MT2783	3017404	3018375	971	+	303.8	1	MT2783
MT2781	3016491	3016739	248	-	486.8	1	MT2781
MT2785(not expressed)	3019207	3020265	1058	-	NOT EXPRESSED		
MT2784	3018502	3019194	692	+	380.6	1	MT2784
MT2786-MT2789	3020378	3024795	4417	+	68.5	4	MT2786, MT2787, MT2788, MT2789
MT2790-MT2792	3024804	3026474	1670	-	48.3	3	MT2790, MT2791, MT2792
MT2793	3026782	3027435	653	+	1035.8	1	MT2793
MT2794	3027457	3029556	2099	-	95.8	1	MT2794
MT2794.1-MT2795	3029536	3031039	1503	+	29.2	2	MT2794.1, MT2795
MT2796-MT2801	3031068	3037410	6342	-	22.3	6	MT2796, MT2797, MT2798, MT2799, MT2800, MT2801
MT2801.1-MT2802	3037477	3039313	1836	+	50.1	2	MT2801.1, MT2802
MT2803.1(not expressed)	3041561	3041659	98	+	NOT EXPRESSED		
MT2802.1-MT2803	3039310	3041460	2150	-	79.0	2	MT2802.1, MT2803
MT2804-MT2808	3042496	3046948	4452	-	26.5	5	MT2804, MT2805, MT2806, MT2807, MT2808
MT2808.1(not expressed)	3046959	3048221	1262	-	NOT EXPRESSED		
MT2803.2	3041757	3042611	854	+	20.8	1	MT2803.2
MT2810	3048525	3048791	266	+	49.8	1	MT2810
MT2812(not expressed)	3048850	3050214	1364	+	NOT EXPRESSED		
MT2813(not expressed)	3050238	3051098	860	-	NOT EXPRESSED		
MT2814-MT2817	3051143	3053954	2811	-	96.6	4	MT2814, MT2815, MT2816, MT2817
MT2818	3054015	3054509	494	+	30.7	1	MT2818
MT2819	3054578	3057484	2906	-	158.0	1	MT2819
MT2822-MT2823	3059238	3061847	2609	-	81.5	2	MT2822, MT2823
MT2824(not expressed)	3061916	3062668	752	-	NOT EXPRESSED		
MT2825-MT2832	3062912	3067779	4867	-	8.6	8	MT2825, MT2826, MT2827, MT2828, MT2829, MT2830, MT2831, MT2832
MT2820-MT2821	3057539	3059251	1712	+	40.7	2	MT2820, MT2821
MT2835(not expressed)	3069359	3070096	737	+	NOT EXPRESSED		
MT2833-MT2834	3067853	3069203	1350	-	82.3	2	MT2833, MT2834
MT2836(not expressed)	3070311	3071093	782	-	NOT EXPRESSED		
MT2837(not expressed)	3071326	3071616	290	-	NOT EXPRESSED		
MT2838(not expressed)	3071617	3073005	1388	-	NOT EXPRESSED		
MT2839(not expressed)	3072881	3073708	827	-	NOT EXPRESSED		
MT2840-MT2843	3074032	3077064	3032	-	148.5	4	MT2840, MT2841, MT2842, MT2843
MT2844	3077075	3077488	413	-	28.0	1	MT2844
MT2845	3077536	3078093	557	+	42.2	1	MT2845
MT2846-MT2849	3078097	3081483	3386	-	30.3	4	MT2846, MT2847, MT2848, MT2849
MT2851-MT2855	3082673	3088471	5798	-	185.3	5	MT2851, MT2852, MT2853, MT2854, MT2855
MT2850	3081543	3082658	1115	+	34.8	1	MT2850
MT2857	3089824	3091596	1772	+	10.1	1	MT2857
MT2856	3088627	3089622	995	-	39.6	1	MT2856
MT2859-MT2864	3092428	3099630	7202	-	51.8	7	MT2859, MT2860, MT2861, MT2862, MT2862.1, MT2863, MT2864
MT2865	3099775	3100341	566	-	20.3	1	MT2865
MT2866(not expressed)	3100338	3102026	1688	-	NOT EXPRESSED		
MT2858	3091681	3092367	686	+	48.8	1	MT2858
MT2867	3102030	3102377	347	-	23.7	1	MT2867
MT2869	3104886	3105239	353	-	18.9	1	MT2869
MT2870(not expressed)	3105499	3106572	1073	-	NOT EXPRESSED		
MT2867.1-MT2868	3102487	3104784	2297	+	36.8	2	MT2867.1, MT2868
MT2871(not expressed)	3106541	3107008	467	+	NOT EXPRESSED		
MT2872(not expressed)	3107184	3107813	629	-	NOT EXPRESSED		
MT2873(not expressed)	3107987	3108178	191	+	NOT EXPRESSED		
MT2874(not expressed)	3108377	3109531	1154	+	NOT EXPRESSED		
MT2877(not expressed)	3110460	3110627	167	-	NOT EXPRESSED		
MT2875-MT2876	3109753	3110438	685	+	66.9	2	MT2875, MT2876
MT2878(not expressed)	3110929	3111465	536	+	NOT EXPRESSED		
MT2879(not expressed)	3111536	3112945	1409	+	NOT EXPRESSED		
MT2880(not expressed)	3112942	3113754	812	+	NOT EXPRESSED		
MT2881(not expressed)	3115355	3116239	884	-	NOT EXPRESSED		
MT2882	3116290	3116616	326	-	12.1	1	MT2882
MT2883	3117830	3118171	341	-	31.4	1	MT2883
MT2884(not expressed)	3118172	3119188	1016	-	NOT EXPRESSED		
MT2885-MT2891	3119201	3126928	7727	-	8.2	7	MT2885, MT2886, MT2887, MT2888, MT2889, MT2890, MT2891
MT2892	3127106	3127846	740	-	58.8	1	MT2892
MT2893-MT2894	3127923	3129757	1834	-	17.6	2	MT2893, MT2894
MT2895(not expressed)	3129817	3129933	116	-	NOT EXPRESSED		
MT2895.1-MT2896	3130002	3131290	1288	-	24.1	2	MT2895.1, MT2896
MT2898(not expressed)	3132313	3133395	1082	-	NOT EXPRESSED		
MT2897	3131485	3132234	749	+	12.3	1	MT2897
MT2899(not expressed)	3133388	3134440	1052	-	NOT EXPRESSED		
MT2900(not expressed)	3134699	3135526	827	-	NOT EXPRESSED		
MT2901(not expressed)	3135523	3136434	911	-	NOT EXPRESSED		
MT2902(not expressed)	3136521	3137831	1310	-	NOT EXPRESSED		
MT2903-MT2906	3137847	3142470	4623	-	573.3	4	MT2903, MT2904, MT2905, MT2906
MT2907-MT2908	3142597	3144188	1591	-	89.8	2	MT2907, MT2908
MT2911-MT2913	3145414	3150083	4669	-	55.7	3	MT2911, MT2912, MT2913
MT2909-MT2910	3144383	3145413	1030	+	21.3	2	MT2909, MT2910
MT2919(not expressed)	3156334	3158325	1991	+	NOT EXPRESSED		
MT2914-MT2918	3150360	3156271	5911	-	66.8	5	MT2914, MT2915, MT2916, MT2917, MT2918
MT2924-MT2929	3162029	3168173	6144	-	42.9	6	MT2924, MT2925, MT2926, MT2927, MT2928, MT2929
MT2921-MT2923	3158362	3162012	3650	+	36.2	3	MT2921, MT2922, MT2923
MT2931(not expressed)	3168957	3169151	194	+	NOT EXPRESSED		
MT2930	3168215	3168799	584	-	18.7	1	MT2930
MT2932(not expressed)	3169148	3169528	380	+	NOT EXPRESSED		
MT2933	3169610	3171466	1856	-	25.1	1	MT2933
MT2934(not expressed)	3171651	3172361	710	-	NOT EXPRESSED		
MT2939	3177537	3177980	443	+	23.4	1	MT2939
MT2940	3178060	3178722	662	+	12.3	1	MT2940
MT2941(not expressed)	3178818	3179009	191	+	NOT EXPRESSED		
MT2935-MT2938	3172614	3177125	4511	-	112.5	4	MT2935, MT2936, MT2937, MT2938
MT2942(not expressed)	3179002	3181089	2087	+	NOT EXPRESSED		
MT2943(not expressed)	3181185	3181766	581	+	NOT EXPRESSED		
MT2944(not expressed)	3181749	3182141	392	-	NOT EXPRESSED		
MT2945(not expressed)	3182163	3183026	863	-	NOT EXPRESSED		
MT2946-MT2951	3183031	3187348	4317	-	95.3	6	MT2946, MT2947, MT2948, MT2949, MT2950, MT2951
MT2952	3187547	3188305	758	+	13.5	1	MT2952
MT2953-MT2954	3188320	3190586	2266	-	20.0	2	MT2953, MT2954
MT2956-MT2958	3191018	3194136	3118	-	110.3	3	MT2956, MT2957, MT2958
MT2958.1(not expressed)	3194310	3194930	620	-	NOT EXPRESSED		
MT2955	3190585	3191004	419	+	111.5	1	MT2955
MT2959(not expressed)	3194948	3196174	1226	-	NOT EXPRESSED		
MT2960(not expressed)	3196188	3196331	143	-	NOT EXPRESSED		
MT2961(not expressed)	3196574	3197551	977	+	NOT EXPRESSED		
MT2962-MT2964	3197548	3200588	3040	-	22.9	3	MT2962, MT2963, MT2964
MT2965(not expressed)	3200585	3202096	1511	-	NOT EXPRESSED		
MT2966-MT2972	3202096	3208407	6311	-	288.5	7	MT2966, MT2967, MT2968, MT2969, MT2970, MT2971, MT2972
MT2974(not expressed)	3209819	3210511	692	-	NOT EXPRESSED		
MT2975-MT2977	3210515	3211797	1282	-	94.7	3	MT2975, MT2976, MT2977
MT2973	3208782	3209726	944	+	73.2	1	MT2973
MT2978	3211981	3212424	443	-	11.7	1	MT2978
MT2980-MT2981	3213428	3215852	2424	-	17.9	2	MT2980, MT2981
MT2982(not expressed)	3215921	3217732	1811	-	NOT EXPRESSED		
MT2979	3212493	3213368	875	+	10.6	1	MT2979
MT2983(not expressed)	3217892	3218947	1055	+	NOT EXPRESSED		
MT2985(not expressed)	3220587	3222395	1808	+	NOT EXPRESSED		
MT2984	3218861	3220438	1577	-	62.5	1	MT2984
MT2986-MT2988	3222406	3226658	4252	-	24.7	3	MT2986, MT2987, MT2988
MT2988.1(not expressed)	3226665	3226760	95	-	NOT EXPRESSED		
MT2993(not expressed)	3232812	3232958	146	+	NOT EXPRESSED		
MT2989-MT2992	3227192	3232820	5628	-	39.9	4	MT2989, MT2990, MT2991, MT2992
MT2994(not expressed)	3232922	3233791	869	-	NOT EXPRESSED		
MT2995-MT2997	3234150	3236286	2136	-	319.6	3	MT2995, MT2996, MT2997
MT2998-MT3009	3236513	3270538	34025	+	52.0	12	MT2998, MT2998.1, MT2999, MT3000, MT3002, MT3003, MT3004, MT3005, MT3006, MT3007, MT3008, MT3009
MT3010	3270701	3277036	6335	-	86.9	1	MT3010
MT3013(not expressed)	3282107	3282322	215	-	NOT EXPRESSED		
MT3011-MT3012	3277656	3282153	4497	+	188.8	2	MT3011, MT3012
MT3014(not expressed)	3282347	3282517	170	-	NOT EXPRESSED		
MT3015(not expressed)	3282785	3284026	1241	+	NOT EXPRESSED		
MT3016(not expressed)	3284111	3284827	716	+	NOT EXPRESSED		
MT3017	3284945	3285646	701	-	47.3	1	MT3017
MT3024(not expressed)	3296936	3297253	317	+	NOT EXPRESSED		
MT3018-MT3025	3285824	3298569	12745	-	77.9	6	MT3018, MT3021.1, MT3021, MT3022, MT3023, MT3025
MT3028	3300987	3301586	599	-	87.8	1	MT3028
MT3026-MT3027	3298762	3300856	2094	+	57.0	2	MT3026, MT3027
MT3029	3301900	3302874	974	-	14.1	1	MT3029
MT3032	3304592	3304732	140	-	47.4	1	MT3032
MT3033(not expressed)	3304765	3304971	206	-	NOT EXPRESSED		
MT3030-MT3031	3302988	3304617	1629	+	125.0	2	MT3030, MT3031
MT3034(not expressed)	3305034	3306320	1286	-	NOT EXPRESSED		
MT3035-MT3036	3306421	3307623	1202	-	58.1	2	MT3035, MT3036
MT3037(not expressed)	3307636	3308049	413	-	NOT EXPRESSED		
MT3039-MT3041	3309556	3311781	2225	+	41.0	2	MT3039, MT3041
MT3041.1(not expressed)	3311787	3312305	518	+	NOT EXPRESSED		
MT3038	3308093	3309442	1349	-	17.4	1	MT3038
MT3042(not expressed)	3312364	3312606	242	+	NOT EXPRESSED		
MT3043	3312650	3313135	485	-	26.0	1	MT3043
MT3044	3313221	3313787	566	-	11.8	1	MT3044
MT3045-MT3048	3313983	3319822	5839	-	71.9	4	MT3045, MT3046, MT3047, MT3048
MT3050(not expressed)	3321343	3322056	713	-	NOT EXPRESSED		
MT3049	3320421	3321269	848	+	97.2	1	MT3049
MT3051(not expressed)	3322053	3324266	2213	-	NOT EXPRESSED		
MT3052(not expressed)	3324269	3325681	1412	-	NOT EXPRESSED		
MT3052.1	3325678	3325956	278	-	74.0	1	MT3052.1
MT3052.2	3326174	3326368	194	+	36.8	1	MT3052.2
MT3053-MT3057	3326391	3330068	3677	-	38.4	4	MT3053, MT3055, MT3056, MT3057
MT3058-MT3058.2	3330180	3331177	997	+	12.9	3	MT3058, MT3058.1, MT3058.2
MT3061	3333496	3334140	644	+	11.2	1	MT3061
MT3059-MT3060	3331174	3333377	2203	-	40.0	2	MT3059, MT3060
MT3064	3337554	3338198	644	-	478.1	1	MT3064
MT3062-MT3063	3334235	3337496	3261	+	46.3	2	MT3062, MT3063
MT3065-MT3066	3338411	3340453	2042	-	35.3	2	MT3065, MT3066
MT3067	3340423	3341226	803	+	33.2	1	MT3067
MT3068	3341237	3342097	860	-	94.5	1	MT3068
MT3069	3342360	3342851	491	+	25.8	1	MT3069
MT3070-MT3071	3343183	3345371	2188	-	34.5	2	MT3070, MT3071
MT3072	3345646	3346983	1337	+	18.8	1	MT3072
MT3075	3349476	3350918	1442	+	10.4	1	MT3075
MT3076(not expressed)	3351092	3351652	560	+	NOT EXPRESSED		
MT3073-MT3074	3346835	3349446	2611	-	141.6	2	MT3073, MT3074
MT3077(not expressed)	3351628	3351930	302	+	NOT EXPRESSED		
MT3078(not expressed)	3351954	3352943	989	+	NOT EXPRESSED		
MT3080(not expressed)	3352988	3353647	659	+	NOT EXPRESSED		
MT3080.1-MT3083	3353696	3357362	3666	-	48.3	4	MT3080.1, MT3081, MT3082, MT3083
MT3084-MT3085	3357495	3358908	1413	-	71.1	2	MT3084, MT3085
MT3086	3359085	3360206	1121	+	87.8	1	MT3086
MT3087	3360212	3360922	710	-	22.8	1	MT3087
MT3089-MT3090	3361640	3364230	2590	-	81.7	2	MT3089, MT3090
MT3088	3361020	3361643	623	+	83.0	1	MT3088
MT3093(not expressed)	3366125	3366847	722	+	NOT EXPRESSED		
MT3091-MT3092	3364326	3366106	1780	-	11.3	2	MT3091, MT3092
MT3094-MT3095	3366921	3370040	3119	-	14.5	2	MT3094, MT3095
MT3097(not expressed)	3370867	3371232	365	-	NOT EXPRESSED		
MT3096	3370134	3370763	629	+	36.0	1	MT3096
MT3098(not expressed)	3371316	3371723	407	-	NOT EXPRESSED		
MT3099	3371759	3372085	326	+	13.5	1	MT3099
MT3100(not expressed)	3372136	3373020	884	+	NOT EXPRESSED		
MT3101(not expressed)	3373047	3373979	932	-	NOT EXPRESSED		
MT3102(not expressed)	3373976	3374068	92	-	NOT EXPRESSED		
MT3103(not expressed)	3374231	3374407	176	-	NOT EXPRESSED		
MT3104(not expressed)	3374447	3374737	290	-	NOT EXPRESSED		
MT3105(not expressed)	3374772	3375080	308	-	NOT EXPRESSED		
MT3106(not expressed)	3375112	3376419	1307	-	NOT EXPRESSED		
MT3106.1(not expressed)	3376416	3376829	413	-	NOT EXPRESSED		
MT3107(not expressed)	3377112	3378359	1247	-	NOT EXPRESSED		
MT3108-MT3109	3378522	3380803	2281	-	31.2	2	MT3108, MT3109
MT3110(not expressed)	3380900	3381814	914	-	NOT EXPRESSED		
MT3111(not expressed)	3381811	3382656	845	-	NOT EXPRESSED		
MT3114-MT3117	3384838	3388938	4100	+	40.1	4	MT3114, MT3115, MT3116, MT3117
MT3118(not expressed)	3389117	3389665	548	+	NOT EXPRESSED		
MT3112-MT3113	3382812	3384607	1795	-	159.5	2	MT3112, MT3113
MT3119	3389756	3390544	788	-	52.8	1	MT3119
MT3121-MT3122	3392195	3394027	1832	-	32.4	2	MT3121, MT3122
MT3120	3391116	3392198	1082	+	24.7	1	MT3120
MT3123-MT3128	3394162	3400658	6496	-	120.0	6	MT3123, MT3124, MT3125, MT3126, MT3127, MT3128
MT3131	3403051	3403425	374	-	42.2	1	MT3131
MT3132-MT3139.1	3403759	3411077	7318	-	390.2	9	MT3132, MT3133, MT3134, MT3135, MT3136, MT3137, MT3138, MT3139, MT3139.1
MT3129-MT3131.1	3400969	3403557	2588	+	68.7	3	MT3129, MT3130, MT3131.1
MT3140	3411158	3411742	584	-	13.8	1	MT3140
MT3141-MT3142	3411588	3413468	1880	+	25.0	2	MT3141, MT3142
MT3143-MT3144	3413522	3415162	1640	-	71.7	2	MT3143, MT3144
MT3145.1(not expressed)	3416636	3416764	128	-	NOT EXPRESSED		
MT3146	3417464	3418996	1532	-	34.9	1	MT3146
MT3145	3415215	3416693	1478	+	91.2	1	MT3145
MT3148	3421375	3422898	1523	+	22.5	1	MT3148
MT3149	3423034	3425310	2276	+	13.1	1	MT3149
MT3149.1(not expressed)	3425359	3425541	182	+	NOT EXPRESSED		
MT3147	3419053	3421218	2165	-	17.3	1	MT3147
