Strain,Gene,No_of_mutations
TKK-01-0017.annotated.vcf,RVBD_2082,742
TKK-01-0017.annotated.vcf,RVBD_2108,732
TKK-01-0017.annotated.vcf,RVBD_3021c,713
TKK-01-0017.annotated.vcf,RVBD_3514,608
TKK-01-0017.annotated.vcf,RVBD_2543,560
TKK-01-0017.annotated.vcf,RVBD_0354c,552
TKK-01-0018.annotated.vcf,RVBD_3514,1062
TKK-01-0018.annotated.vcf,RVBD_0797,741
TKK-01-0018.annotated.vcf,RVBD_3508,591
TKK-01-0018.annotated.vcf,RVBD_1450c,494
TKK-01-0018.annotated.vcf,RVBD_3511,241
TKK-01-0018.annotated.vcf,RVBD_1452c,166
TKK-01-0018.annotated.vcf,RVBD_3345c,160
TKK-01-0018.annotated.vcf,RVBD_1753c,132
TKK-01-0018.annotated.vcf,RVBD_0746,107
TKK-01-0018.annotated.vcf,RVBD_1288,90
TKK-01-0018.annotated.vcf,RVBD_2680,63
TKK-01-0018.annotated.vcf,RVBD_0304c,62
TKK-01-0018.annotated.vcf,RVBD_3710,58
TKK-01-0018.annotated.vcf,RVBD_1917c,50
TKK-01-0018.annotated.vcf,RVBD_3512,46
TKK-01-0018.annotated.vcf,RVBD_1087,38
TKK-01-0018.annotated.vcf,RVBD_3343c,34
TKK-01-0018.annotated.vcf,RVBD_3347c,24
TKK-01-0018.annotated.vcf,RVBD_3344c,23
TKK-01-0018.annotated.vcf,RVBD_1758,22
TKK-01-0018.annotated.vcf,RVBD_3785,21
TKK-01-0018.annotated.vcf,RVBD_0278c,20
TKK-01-0018.annotated.vcf,RVBD_2931,17
TKK-01-0018.annotated.vcf,RVBD_2487c,17
TKK-01-0018.annotated.vcf,RVBD_3879c,15
TKK-01-0018.annotated.vcf,RVBD_0778,14
TKK-01-0018.annotated.vcf,RVBD_3647c,11
TKK-01-0018.annotated.vcf,RVBD_1978,10
TKK-01-0018.annotated.vcf,RVBD_2048c,10
TKK-01-0018.annotated.vcf,RVBD_1588c,10
TKK-01-0019.annotated.vcf,RVBD_3508,1145
TKK-01-0019.annotated.vcf,RVBD_1764,885
TKK-01-0019.annotated.vcf,RVBD_1756c,885
TKK-01-0019.annotated.vcf,RVBD_2479c,885
TKK-01-0019.annotated.vcf,RVBD_0796,885
TKK-01-0019.annotated.vcf,RVBD_1369c,885
TKK-01-0019.annotated.vcf,RVBD_2106,885
TKK-01-0019.annotated.vcf,RVBD_2649,885
TKK-01-0019.annotated.vcf,RVBD_3514,690
TKK-01-0019.annotated.vcf,RVBD_3511,479
TKK-01-0019.annotated.vcf,RVBD_3343c,446
TKK-01-0019.annotated.vcf,RVBD_1945,356
TKK-01-0019.annotated.vcf,RVBD_1757c,327
TKK-01-0019.annotated.vcf,RVBD_2105,327
TKK-01-0019.annotated.vcf,RVBD_2480c,327
TKK-01-0019.annotated.vcf,RVBD_1370c,327
TKK-01-0019.annotated.vcf,RVBD_0795,327
TKK-01-0019.annotated.vcf,RVBD_2648,323
TKK-01-0019.annotated.vcf,RVBD_1763,322
TKK-01-0019.annotated.vcf,RVBD_0797,293
TKK-01-0019.annotated.vcf,RVBD_3512,224
TKK-01-0019.annotated.vcf,RVBD_2048c,203
TKK-01-0019.annotated.vcf,RVBD_1753c,184
TKK-01-0019.annotated.vcf,RVBD_1765c,166
TKK-01-0019.annotated.vcf,RVBD_0978c,141
TKK-01-0019.annotated.vcf,RVBD_1587c,92
TKK-01-0019.annotated.vcf,RVBD_3424c,77
TKK-01-0019.annotated.vcf,RVBD_1548c,77
TKK-01-0019.annotated.vcf,RVBD_0304c,62
TKK-01-0019.annotated.vcf,RVBD_1787,61
TKK-01-0020.annotated.vcf,RVBD_3508,541
TKK-01-0020.annotated.vcf,RVBD_3514,298
TKK-01-0020.annotated.vcf,RVBD_0797,296
TKK-01-0020.annotated.vcf,RVBD_1753c,193
TKK-01-0020.annotated.vcf,RVBD_0064,125
TKK-01-0020.annotated.vcf,RVBD_0978c,102
TKK-01-0020.annotated.vcf,RVBD_0094c,45
TKK-01-0020.annotated.vcf,RVBD_3512,39
TKK-01-0020.annotated.vcf,RVBD_3345c,19
TKK-01-0020.annotated.vcf,RVBD_0278c,19
TKK-01-0020.annotated.vcf,RVBD_1450c,18
TKK-01-0020.annotated.vcf,RVBD_0355c,15
TKK-01-0020.annotated.vcf,RVBD_2931,14
TKK-01-0020.annotated.vcf,RVBD_2124c,14
TKK-01-0020.annotated.vcf,RVBD_1818c,10
TKK-01-0020.annotated.vcf,RVBD_2487c,9
TKK-01-0020.annotated.vcf,RVBD_1844c,7
TKK-01-0020.annotated.vcf,RVBD_1755c,7
TKK-01-0020.annotated.vcf,RVBD_1452c,7
TKK-01-0020.annotated.vcf,RVBD_3590c,7
TKK-01-0020.annotated.vcf,RVBD_3347c,6
TKK-01-0020.annotated.vcf,RVBD_2048c,6
TKK-01-0020.annotated.vcf,RVBD_0095c,6
TKK-01-0020.annotated.vcf,RVBD_1197,5
TKK-01-0020.annotated.vcf,RVBD_1361c,5
TKK-01-0020.annotated.vcf,RVBD_3343c,5
TKK-01-0020.annotated.vcf,RVBD_3619c,4
TKK-01-0020.annotated.vcf,RVBD_1917c,4
TKK-01-0020.annotated.vcf,RVBD_0872c,4
TKK-01-0020.annotated.vcf,RVBD_3220c,4
TKK-01-0021.annotated.vcf,RVBD_3508,644
TKK-01-0021.annotated.vcf,RVBD_3514,565
TKK-01-0021.annotated.vcf,RVBD_3511,440
TKK-01-0021.annotated.vcf,RVBD_1450c,410
TKK-01-0021.annotated.vcf,RVBD_0797,307
TKK-01-0021.annotated.vcf,RVBD_1730c,221
TKK-01-0021.annotated.vcf,RVBD_0278c,211
TKK-01-0021.annotated.vcf,RVBD_3623,204
TKK-01-0021.annotated.vcf,RVBD_1753c,164
TKK-01-0021.annotated.vcf,RVBD_0747,163
TKK-01-0021.annotated.vcf,RVBD_0279c,141
TKK-01-0021.annotated.vcf,RVBD_1135c,130
TKK-01-0021.annotated.vcf,RVBD_0095c,121
TKK-01-0021.annotated.vcf,RVBD_3345c,102
TKK-01-0021.annotated.vcf,RVBD_1587c,91
TKK-01-0021.annotated.vcf,RVBD_0355c,81
TKK-01-0021.annotated.vcf,RVBD_1068c,76
TKK-01-0021.annotated.vcf,RVBD_3507,60
TKK-01-0021.annotated.vcf,RVBD_2543,52
TKK-01-0021.annotated.vcf,RVBD_2544,39
TKK-01-0021.annotated.vcf,RVBD_1087,37
TKK-01-0021.annotated.vcf,RVBD_1441c,34
TKK-01-0021.annotated.vcf,RVBD_1243c,33
TKK-01-0021.annotated.vcf,RVBD_3344c,32
TKK-01-0021.annotated.vcf,RVBD_1452c,28
TKK-01-0021.annotated.vcf,RVBD_3512,28
TKK-01-0021.annotated.vcf,RVBD_1325c,27
TKK-01-0021.annotated.vcf,RVBD_3428c,22
TKK-01-0021.annotated.vcf,RVBD_0746,22
TKK-01-0021.annotated.vcf,RVBD_3785,21
TKK-01-0022.annotated.vcf,RVBD_3508,1096
TKK-01-0022.annotated.vcf,RVBD_3511,199
TKK-01-0022.annotated.vcf,RVBD_3514,167
TKK-01-0022.annotated.vcf,RVBD_0064,124
TKK-01-0022.annotated.vcf,RVBD_1450c,93
TKK-01-0022.annotated.vcf,RVBD_3512,39
TKK-01-0022.annotated.vcf,RVBD_3345c,21
TKK-01-0022.annotated.vcf,RVBD_0115,20
TKK-01-0022.annotated.vcf,RVBD_0278c,20
TKK-01-0022.annotated.vcf,RVBD_1361c,19
TKK-01-0022.annotated.vcf,RVBD_0355c,18
TKK-01-0022.annotated.vcf,RVBD_0279c,17
TKK-01-0022.annotated.vcf,RVBD_2931,14
TKK-01-0022.annotated.vcf,RVBD_2124c,14
TKK-01-0022.annotated.vcf,RVBD_1818c,10
TKK-01-0022.annotated.vcf,RVBD_1844c,7
TKK-01-0022.annotated.vcf,RVBD_3466,7
TKK-01-0022.annotated.vcf,RVBD_1755c,7
TKK-01-0022.annotated.vcf,RVBD_1588c,7
TKK-01-0022.annotated.vcf,RVBD_3347c,6
TKK-01-0022.annotated.vcf,RVBD_2048c,6
TKK-01-0022.annotated.vcf,RVBD_0095c,6
TKK-01-0022.annotated.vcf,RVBD_3343c,6
TKK-01-0022.annotated.vcf,RVBD_1197,5
TKK-01-0022.annotated.vcf,RVBD_0006,5
TKK-01-0022.annotated.vcf,RVBD_3619c,4
TKK-01-0022.annotated.vcf,RVBD_1917c,4
TKK-01-0022.annotated.vcf,RVBD_3220c,4
TKK-01-0022.annotated.vcf,RVBD_1452c,4
TKK-01-0022.annotated.vcf,RVBD_0236c,4
TKK-01-0024.annotated.vcf,RVBD_1450c,676
TKK-01-0024.annotated.vcf,RVBD_1371,612
TKK-01-0024.annotated.vcf,RVBD_1452c,486
TKK-01-0024.annotated.vcf,RVBD_2544,305
TKK-01-0024.annotated.vcf,RVBD_3019c,291
TKK-01-0024.annotated.vcf,RVBD_0797,290
TKK-01-0024.annotated.vcf,RVBD_3511,227
TKK-01-0024.annotated.vcf,RVBD_1730c,221
TKK-01-0024.annotated.vcf,RVBD_0278c,203
TKK-01-0024.annotated.vcf,RVBD_1917c,203
TKK-01-0024.annotated.vcf,RVBD_3508,175
TKK-01-0024.annotated.vcf,RVBD_1135c,161
TKK-01-0024.annotated.vcf,RVBD_0094c,145
TKK-01-0024.annotated.vcf,RVBD_0747,139
TKK-01-0024.annotated.vcf,RVBD_0090,135
TKK-01-0024.annotated.vcf,RVBD_3343c,129
TKK-01-0024.annotated.vcf,RVBD_0279c,124
TKK-01-0024.annotated.vcf,RVBD_1753c,105
TKK-01-0024.annotated.vcf,RVBD_1068c,90
TKK-01-0024.annotated.vcf,RVBD_2543,89
TKK-01-0024.annotated.vcf,RVBD_1045,73
TKK-01-0024.annotated.vcf,RVBD_0355c,60
TKK-01-0024.annotated.vcf,RVBD_0045c,43
TKK-01-0024.annotated.vcf,RVBD_3512,42
TKK-01-0024.annotated.vcf,RVBD_1587c,36
TKK-01-0024.annotated.vcf,RVBD_1243c,35
TKK-01-0024.annotated.vcf,RVBD_2615c,30
TKK-01-0024.annotated.vcf,RVBD_2624c,30
TKK-01-0024.annotated.vcf,RVBD_3507,25
TKK-01-0024.annotated.vcf,RVBD_3344c,24
TKK-01-0025.annotated.vcf,RVBD_0355c,7885
TKK-01-0025.annotated.vcf,RVBD_3343c,4980
TKK-01-0025.annotated.vcf,RVBD_0304c,3998
TKK-01-0025.annotated.vcf,RVBD_2823c,2122
TKK-01-0025.annotated.vcf,RVBD_0305c,2101
TKK-01-0025.annotated.vcf,RVBD_1917c,2058
TKK-01-0025.annotated.vcf,RVBD_2356c,1310
TKK-01-0025.annotated.vcf,RVBD_3514,1178
TKK-01-0025.annotated.vcf,RVBD_2818c,1149
TKK-01-0025.annotated.vcf,RVBD_2819c,1128
TKK-01-0025.annotated.vcf,RVBD_1753c,1025
TKK-01-0025.annotated.vcf,RVBD_2817c,1017
TKK-01-0025.annotated.vcf,RVBD_3018c,974
TKK-01-0025.annotated.vcf,RVBD_1765c,916
TKK-01-0025.annotated.vcf,RVBD_2820c,905
TKK-01-0025.annotated.vcf,RVBD_1764,885
TKK-01-0025.annotated.vcf,RVBD_1369c,885
TKK-01-0025.annotated.vcf,RVBD_1756c,885
TKK-01-0025.annotated.vcf,RVBD_2479c,885
TKK-01-0025.annotated.vcf,RVBD_3326,885
TKK-01-0025.annotated.vcf,RVBD_0796,885
TKK-01-0025.annotated.vcf,RVBD_3475,885
TKK-01-0025.annotated.vcf,RVBD_2106,885
TKK-01-0025.annotated.vcf,RVBD_2355,885
TKK-01-0025.annotated.vcf,RVBD_2279,885
TKK-01-0025.annotated.vcf,RVBD_3187,885
TKK-01-0025.annotated.vcf,RVBD_3380c,885
TKK-01-0025.annotated.vcf,RVBD_3185,885
TKK-01-0025.annotated.vcf,RVBD_2167c,885
TKK-01-0025.annotated.vcf,RVBD_2649,885
TKK-01-0026.annotated.vcf,RVBD_3514,622
TKK-01-0026.annotated.vcf,RVBD_3345c,186
TKK-01-0026.annotated.vcf,RVBD_1087,171
TKK-01-0026.annotated.vcf,RVBD_0978c,111
TKK-01-0026.annotated.vcf,RVBD_1450c,78
TKK-01-0026.annotated.vcf,RVBD_1158c,73
TKK-01-0026.annotated.vcf,RVBD_3343c,59
TKK-01-0026.annotated.vcf,RVBD_3508,37
TKK-01-0026.annotated.vcf,RVBD_0355c,31
TKK-01-0026.annotated.vcf,RVBD_3479,30
TKK-01-0026.annotated.vcf,RVBD_0305c,30
TKK-01-0026.annotated.vcf,RVBD_1068c,29
TKK-01-0026.annotated.vcf,RVBD_0124,28
TKK-01-0026.annotated.vcf,RVBD_0015c,25
TKK-01-0026.annotated.vcf,RVBD_2931,14
TKK-01-0026.annotated.vcf,RVBD_2615c,13
TKK-01-0026.annotated.vcf,RVBD_0095c,11
TKK-01-0026.annotated.vcf,RVBD_0578c,11
TKK-01-0026.annotated.vcf,RVBD_2346c,8
TKK-01-0026.annotated.vcf,RVBD_1817,6
TKK-01-0026.annotated.vcf,RVBD_0442c,4
TKK-01-0026.annotated.vcf,RVBD_2024c,3
TKK-01-0026.annotated.vcf,RVBD_1452c,3
TKK-01-0026.annotated.vcf,RVBD_2048c,3
TKK-01-0026.annotated.vcf,RVBD_2947c,3
TKK-01-0026.annotated.vcf,RVBD_3350c,3
TKK-01-0026.annotated.vcf,RVBD_0747,3
TKK-01-0026.annotated.vcf,RVBD_2353c,3
TKK-01-0026.annotated.vcf,RVBD_1933c,3
TKK-01-0026.annotated.vcf,RVBD_0376c,3
TKK-01-0027.annotated.vcf,RVBD_1753c,954
TKK-01-0027.annotated.vcf,RVBD_0094c,920
TKK-01-0027.annotated.vcf,RVBD_1756c,885
TKK-01-0027.annotated.vcf,RVBD_2479c,885
TKK-01-0027.annotated.vcf,RVBD_0796,885
TKK-01-0027.annotated.vcf,RVBD_2649,885
TKK-01-0027.annotated.vcf,RVBD_1450c,795
TKK-01-0027.annotated.vcf,RVBD_3514,737
TKK-01-0027.annotated.vcf,RVBD_1371,615
TKK-01-0027.annotated.vcf,RVBD_1452c,459
TKK-01-0027.annotated.vcf,RVBD_3511,455
TKK-01-0027.annotated.vcf,RVBD_0978c,408
TKK-01-0027.annotated.vcf,RVBD_1757c,327
TKK-01-0027.annotated.vcf,RVBD_2480c,327
TKK-01-0027.annotated.vcf,RVBD_0795,327
TKK-01-0027.annotated.vcf,RVBD_2648,327
TKK-01-0027.annotated.vcf,RVBD_0797,290
TKK-01-0027.annotated.vcf,RVBD_1730c,223
TKK-01-0027.annotated.vcf,RVBD_0747,185
TKK-01-0027.annotated.vcf,RVBD_1135c,160
TKK-01-0027.annotated.vcf,RVBD_3343c,156
TKK-01-0027.annotated.vcf,RVBD_1917c,134
TKK-01-0027.annotated.vcf,RVBD_0278c,121
TKK-01-0027.annotated.vcf,RVBD_3879c,93
TKK-01-0027.annotated.vcf,RVBD_3507,85
TKK-01-0027.annotated.vcf,RVBD_3281,79
TKK-01-0027.annotated.vcf,RVBD_1068c,78
TKK-01-0027.annotated.vcf,RVBD_0355c,77
TKK-01-0027.annotated.vcf,RVBD_2543,48
TKK-01-0027.annotated.vcf,RVBD_1441c,39
TKK-01-0028.annotated.vcf,RVBD_1753c,942
TKK-01-0028.annotated.vcf,RVBD_3187,878
TKK-01-0028.annotated.vcf,RVBD_3380c,863
TKK-01-0028.annotated.vcf,RVBD_2167c,863
TKK-01-0028.annotated.vcf,RVBD_2106,854
TKK-01-0028.annotated.vcf,RVBD_2279,849
TKK-01-0028.annotated.vcf,RVBD_0796,837
TKK-01-0028.annotated.vcf,RVBD_3475,824
TKK-01-0028.annotated.vcf,RVBD_1764,811
TKK-01-0028.annotated.vcf,RVBD_2479c,809
TKK-01-0028.annotated.vcf,RVBD_1369c,807
TKK-01-0028.annotated.vcf,RVBD_2355,799
TKK-01-0028.annotated.vcf,RVBD_3185,793
TKK-01-0028.annotated.vcf,RVBD_1756c,790
TKK-01-0028.annotated.vcf,RVBD_3326,789
TKK-01-0028.annotated.vcf,RVBD_3514,739
TKK-01-0028.annotated.vcf,RVBD_3508,708
TKK-01-0028.annotated.vcf,RVBD_0795,327
TKK-01-0028.annotated.vcf,RVBD_2815c,326
TKK-01-0028.annotated.vcf,RVBD_3325,321
TKK-01-0028.annotated.vcf,RVBD_2278,319
TKK-01-0028.annotated.vcf,RVBD_2354,317
TKK-01-0028.annotated.vcf,RVBD_3186,313
TKK-01-0028.annotated.vcf,RVBD_3327,304
TKK-01-0028.annotated.vcf,RVBD_2105,300
TKK-01-0028.annotated.vcf,RVBD_1757c,297
TKK-01-0028.annotated.vcf,RVBD_1370c,295
TKK-01-0028.annotated.vcf,RVBD_2814c,289
TKK-01-0028.annotated.vcf,RVBD_3343c,288
TKK-01-0028.annotated.vcf,RVBD_3474,279
TKK-01-0029.annotated.vcf,RVBD_1765c,1045
TKK-01-0029.annotated.vcf,RVBD_2167c,885
TKK-01-0029.annotated.vcf,RVBD_1756c,885
TKK-01-0029.annotated.vcf,RVBD_2479c,885
TKK-01-0029.annotated.vcf,RVBD_3326,885
TKK-01-0029.annotated.vcf,RVBD_3380c,885
TKK-01-0029.annotated.vcf,RVBD_3475,885
TKK-01-0029.annotated.vcf,RVBD_2279,885
TKK-01-0029.annotated.vcf,RVBD_2649,885
TKK-01-0029.annotated.vcf,RVBD_2106,885
TKK-01-0029.annotated.vcf,RVBD_2355,885
TKK-01-0029.annotated.vcf,RVBD_1369c,885
TKK-01-0029.annotated.vcf,RVBD_3021c,775
TKK-01-0029.annotated.vcf,RVBD_3327,623
TKK-01-0029.annotated.vcf,RVBD_0797,622
TKK-01-0029.annotated.vcf,RVBD_3508,614
TKK-01-0029.annotated.vcf,RVBD_0980c,462
TKK-01-0029.annotated.vcf,RVBD_3514,445
TKK-01-0029.annotated.vcf,RVBD_0978c,407
TKK-01-0029.annotated.vcf,RVBD_2480c,327
TKK-01-0029.annotated.vcf,RVBD_1370c,327
TKK-01-0029.annotated.vcf,RVBD_3474,327
TKK-01-0029.annotated.vcf,RVBD_2354,327
TKK-01-0029.annotated.vcf,RVBD_2278,327
TKK-01-0029.annotated.vcf,RVBD_1757c,327
TKK-01-0029.annotated.vcf,RVBD_2105,327
TKK-01-0029.annotated.vcf,RVBD_2168c,327
TKK-01-0029.annotated.vcf,RVBD_2648,327
TKK-01-0029.annotated.vcf,RVBD_3381c,324
TKK-01-0029.annotated.vcf,RVBD_3325,322
TKK-01-0030.annotated.vcf,RVBD_3508,1201
TKK-01-0030.annotated.vcf,RVBD_1756c,885
TKK-01-0030.annotated.vcf,RVBD_2279,885
TKK-01-0030.annotated.vcf,RVBD_2355,885
TKK-01-0030.annotated.vcf,RVBD_2167c,885
TKK-01-0030.annotated.vcf,RVBD_3326,880
TKK-01-0030.annotated.vcf,RVBD_1757c,327
TKK-01-0030.annotated.vcf,RVBD_2278,327
TKK-01-0030.annotated.vcf,RVBD_2168c,327
TKK-01-0030.annotated.vcf,RVBD_2354,327
TKK-01-0030.annotated.vcf,RVBD_3325,321
TKK-01-0030.annotated.vcf,RVBD_0797,306
TKK-01-0030.annotated.vcf,RVBD_3514,300
TKK-01-0030.annotated.vcf,RVBD_0978c,252
TKK-01-0030.annotated.vcf,RVBD_3511,229
TKK-01-0030.annotated.vcf,RVBD_1588c,212
TKK-01-0030.annotated.vcf,RVBD_3281,138
TKK-01-0030.annotated.vcf,RVBD_1918c,131
TKK-01-0030.annotated.vcf,RVBD_0064,124
TKK-01-0030.annotated.vcf,RVBD_1450c,106
TKK-01-0030.annotated.vcf,RVBD_0795,100
TKK-01-0030.annotated.vcf,RVBD_1917c,93
TKK-01-0030.annotated.vcf,RVBD_0124,74
TKK-01-0030.annotated.vcf,RVBD_2090,48
TKK-01-0030.annotated.vcf,RVBD_3512,39
TKK-01-0030.annotated.vcf,RVBD_0279c,21
TKK-01-0030.annotated.vcf,RVBD_0278c,20
TKK-01-0030.annotated.vcf,RVBD_0355c,17
TKK-01-0030.annotated.vcf,RVBD_2931,15
TKK-01-0030.annotated.vcf,RVBD_2124c,14
TKK-01-0031.annotated.vcf,RVBD_3508,1441
TKK-01-0031.annotated.vcf,RVBD_3514,1250
TKK-01-0031.annotated.vcf,RVBD_1916,1196
TKK-01-0031.annotated.vcf,RVBD_1288,1175
TKK-01-0031.annotated.vcf,RVBD_1753c,1047
TKK-01-0031.annotated.vcf,RVBD_3475,885
TKK-01-0031.annotated.vcf,RVBD_2814c,885
TKK-01-0031.annotated.vcf,RVBD_3185,883
TKK-01-0031.annotated.vcf,RVBD_0796,878
TKK-01-0031.annotated.vcf,RVBD_2279,868
TKK-01-0031.annotated.vcf,RVBD_1369c,860
TKK-01-0031.annotated.vcf,RVBD_2649,859
TKK-01-0031.annotated.vcf,RVBD_3380c,851
TKK-01-0031.annotated.vcf,RVBD_1764,841
TKK-01-0031.annotated.vcf,RVBD_2355,829
TKK-01-0031.annotated.vcf,RVBD_2167c,824
TKK-01-0031.annotated.vcf,RVBD_2479c,823
TKK-01-0031.annotated.vcf,RVBD_3326,823
TKK-01-0031.annotated.vcf,RVBD_3187,815
TKK-01-0031.annotated.vcf,RVBD_2106,797
TKK-01-0031.annotated.vcf,RVBD_0355c,737
TKK-01-0031.annotated.vcf,RVBD_1289,633
TKK-01-0031.annotated.vcf,RVBD_1587c,623
TKK-01-0031.annotated.vcf,RVBD_0980c,574
TKK-01-0031.annotated.vcf,RVBD_0354c,552
TKK-01-0031.annotated.vcf,RVBD_1588c,504
TKK-01-0031.annotated.vcf,RVBD_1917c,490
TKK-01-0031.annotated.vcf,RVBD_0978c,399
TKK-01-0031.annotated.vcf,RVBD_3343c,344
TKK-01-0031.annotated.vcf,RVBD_3186,327
TKK-01-0032.annotated.vcf,RVBD_3508,1334
TKK-01-0032.annotated.vcf,RVBD_3511,213
TKK-01-0032.annotated.vcf,RVBD_3514,129
TKK-01-0032.annotated.vcf,RVBD_0064,124
TKK-01-0032.annotated.vcf,RVBD_1450c,108
TKK-01-0032.annotated.vcf,RVBD_1917c,88
TKK-01-0032.annotated.vcf,RVBD_0124,74
TKK-01-0032.annotated.vcf,RVBD_2090,46
TKK-01-0032.annotated.vcf,RVBD_1787,39
TKK-01-0032.annotated.vcf,RVBD_3512,27
TKK-01-0032.annotated.vcf,RVBD_0355c,24
TKK-01-0032.annotated.vcf,RVBD_0278c,19
TKK-01-0032.annotated.vcf,RVBD_3343c,15
TKK-01-0032.annotated.vcf,RVBD_2931,14
TKK-01-0032.annotated.vcf,RVBD_2124c,14
TKK-01-0032.annotated.vcf,RVBD_0279c,12
TKK-01-0032.annotated.vcf,RVBD_3345c,11
TKK-01-0032.annotated.vcf,RVBD_1818c,10
TKK-01-0032.annotated.vcf,RVBD_2048c,8
TKK-01-0032.annotated.vcf,RVBD_1844c,7
TKK-01-0032.annotated.vcf,RVBD_3466,7
TKK-01-0032.annotated.vcf,RVBD_1755c,7
TKK-01-0032.annotated.vcf,RVBD_3347c,6
TKK-01-0032.annotated.vcf,RVBD_0095c,6
TKK-01-0032.annotated.vcf,RVBD_1197,5
TKK-01-0032.annotated.vcf,RVBD_1361c,5
TKK-01-0032.annotated.vcf,RVBD_3619c,4
TKK-01-0032.annotated.vcf,RVBD_0006,4
TKK-01-0032.annotated.vcf,RVBD_1588c,4
TKK-01-0032.annotated.vcf,RVBD_3220c,4
TKK-01-0033.annotated.vcf,RVBD_3514,556
TKK-01-0033.annotated.vcf,RVBD_3508,355
TKK-01-0033.annotated.vcf,RVBD_3343c,316
TKK-01-0033.annotated.vcf,RVBD_0797,313
TKK-01-0033.annotated.vcf,RVBD_0355c,138
TKK-01-0033.annotated.vcf,RVBD_2279,116
TKK-01-0033.annotated.vcf,RVBD_1450c,85
TKK-01-0033.annotated.vcf,RVBD_1087,58
TKK-01-0033.annotated.vcf,RVBD_1441c,35
TKK-01-0033.annotated.vcf,RVBD_0278c,30
TKK-01-0033.annotated.vcf,RVBD_3512,27
TKK-01-0033.annotated.vcf,RVBD_2490c,26
TKK-01-0033.annotated.vcf,RVBD_1758,25
TKK-01-0033.annotated.vcf,RVBD_2048c,23
TKK-01-0033.annotated.vcf,RVBD_3345c,18
TKK-01-0033.annotated.vcf,RVBD_2931,14
TKK-01-0033.annotated.vcf,RVBD_2101,13
TKK-01-0033.annotated.vcf,RVBD_1091,12
TKK-01-0033.annotated.vcf,RVBD_1452c,11
TKK-01-0033.annotated.vcf,RVBD_3919c,11
TKK-01-0033.annotated.vcf,RVBD_0297,10
TKK-01-0033.annotated.vcf,RVBD_0127,9
TKK-01-0033.annotated.vcf,RVBD_1588c,8
TKK-01-0033.annotated.vcf,RVBD_1844c,7
TKK-01-0033.annotated.vcf,RVBD_3466,7
TKK-01-0033.annotated.vcf,RVBD_1067c,6
TKK-01-0033.annotated.vcf,RVBD_3347c,5
TKK-01-0033.annotated.vcf,RVBD_3558,5
TKK-01-0033.annotated.vcf,RVBD_0095c,5
TKK-01-0033.annotated.vcf,RVBD_0006,5
TKK-01-0034.annotated.vcf,RVBD_0355c,7874
TKK-01-0034.annotated.vcf,RVBD_2823c,2123
TKK-01-0034.annotated.vcf,RVBD_0305c,2101
TKK-01-0034.annotated.vcf,RVBD_1917c,2088
TKK-01-0034.annotated.vcf,RVBD_3508,1489
TKK-01-0034.annotated.vcf,RVBD_2356c,1310
TKK-01-0034.annotated.vcf,RVBD_2818c,1149
TKK-01-0034.annotated.vcf,RVBD_2819c,1128
TKK-01-0034.annotated.vcf,RVBD_1753c,1052
TKK-01-0034.annotated.vcf,RVBD_2817c,1017
TKK-01-0034.annotated.vcf,RVBD_3018c,974
TKK-01-0034.annotated.vcf,RVBD_2820c,905
TKK-01-0034.annotated.vcf,RVBD_3326,885
TKK-01-0034.annotated.vcf,RVBD_0796,885
TKK-01-0034.annotated.vcf,RVBD_2649,885
TKK-01-0034.annotated.vcf,RVBD_3185,885
TKK-01-0034.annotated.vcf,RVBD_2167c,885
TKK-01-0034.annotated.vcf,RVBD_3475,884
TKK-01-0034.annotated.vcf,RVBD_2479c,884
TKK-01-0034.annotated.vcf,RVBD_2814c,884
TKK-01-0034.annotated.vcf,RVBD_2106,884
TKK-01-0034.annotated.vcf,RVBD_2355,883
TKK-01-0034.annotated.vcf,RVBD_3187,883
TKK-01-0034.annotated.vcf,RVBD_1369c,881
TKK-01-0034.annotated.vcf,RVBD_2279,876
TKK-01-0034.annotated.vcf,RVBD_1764,869
TKK-01-0034.annotated.vcf,RVBD_3380c,847
TKK-01-0034.annotated.vcf,RVBD_0394c,720
TKK-01-0034.annotated.vcf,RVBD_3021c,713
TKK-01-0034.annotated.vcf,RVBD_2821c,691
TKK-01-0035.annotated.vcf,RVBD_3327,1022
TKK-01-0035.annotated.vcf,RVBD_3514,992
TKK-01-0035.annotated.vcf,RVBD_1756c,885
TKK-01-0035.annotated.vcf,RVBD_2479c,885
TKK-01-0035.annotated.vcf,RVBD_3326,885
TKK-01-0035.annotated.vcf,RVBD_0796,885
TKK-01-0035.annotated.vcf,RVBD_3475,885
TKK-01-0035.annotated.vcf,RVBD_2106,885
TKK-01-0035.annotated.vcf,RVBD_2355,885
TKK-01-0035.annotated.vcf,RVBD_2279,885
TKK-01-0035.annotated.vcf,RVBD_3187,885
TKK-01-0035.annotated.vcf,RVBD_3380c,885
TKK-01-0035.annotated.vcf,RVBD_3185,885
TKK-01-0035.annotated.vcf,RVBD_2167c,885
TKK-01-0035.annotated.vcf,RVBD_2649,885
TKK-01-0035.annotated.vcf,RVBD_3343c,561
TKK-01-0035.annotated.vcf,RVBD_2354,327
TKK-01-0035.annotated.vcf,RVBD_2278,327
TKK-01-0035.annotated.vcf,RVBD_3474,327
TKK-01-0035.annotated.vcf,RVBD_1757c,327
